Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
p1k_00308	7824323	5593049	541	475347	0	0	0	0	139331	0	0	0	0	1238256	266548	111251	71.48284905927325	7824323.0	7348976.0	93.92	475347.0	6.08	p1k_00308_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7824323.0	0.0	20-101	51.0	20.02808282447432	99.78492554563506	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	2.6	7866299	2424817	7866299	794496199	6390119	784630843	1.2417121708596115	0.0435	0.4281	0.5284
p1k_00309	9522278	7049256	25616	639349	0	0	0	0	154040	0	0	0	0	1250690	289628	113699	74.02909261838396	9522278.0	8882929.0	93.29	639349.0	6.71	p1k_00309_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9522278.0	0.0	21-101	51.0	17.700407319485077	99.78673002405516	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	9569061	2869101	9569061	966475161	288975	962074026	0.4553800426123937	0.0331	0.4611	0.5058
p1k_00310	8910007	6604981	4708	553344	0	0	0	0	171567	0	0	0	0	1190436	270210	114761	74.12991931431704	8910007.0	8356663.0	93.79	553344.0	6.21	p1k_00310_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8910007.0	0.0	21-101	51.0	17.259477023552957	99.78480802540336	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	8966499	2697846	8966499	905616399	280656	901469831	0.4578724506953191	0.0376	0.4599	0.5025
p1k_00311	8588339	6290836	3448	628701	0	0	0	0	132737	0	0	0	0	1176747	253239	102631	73.24857577233502	8588339.0	7959638.0	92.68	628701.0	7.32	p1k_00311_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8588339.0	0.0	20-101	51.0	21.27898625766587	99.57554050905536	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass	2.6	8621068	2673652	8621068	870727868	5284841	861570223	1.0517229706951334	0.0341	0.4743	0.4916
p1k_00312	10455068	7867794	2021	493340	0	0	0	0	187153	0	0	0	0	1452698	308054	144008	75.25339863882282	10455068.0	9961728.0	95.28	493340.0	4.72	p1k_00312_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10455068.0	0.0	20-101	51.0	20.205182162064723	99.56135397684643	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass	2.6	10514687	3211769	10514687	1061983387	8907869	1048745573	1.2465179928469068	0.0337	0.4682	0.498
p1k_00313	6949550	5271142	1955	378004	0	0	0	0	120262	0	0	0	0	813535	246975	117677	75.8486808498392	6949550.0	6571546.0	94.56	378004.0	5.44	p1k_00313_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6949550.0	0.0	20-101	51.0	24.003708203457716	99.57683821254614	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass	2.6	6978590	2072203	6978590	704837590	217597	701727684	0.4412230624646452	0.0309	0.4094	0.5596
p1k_00314	6725966	4987705	1074	471343	0	0	0	0	99933	0	0	0	0	827211	237266	101434	74.15596510597882	6725966.0	6254623.0	92.99	471343.0	7.01	p1k_00314_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6725966.0	0.0	20-101	52.0	22.453164970361552	99.77089209193149	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	6757362	2037976	6757362	682493562	372317	679243739	0.4761690338113402	0.0327	0.4091	0.5582
p1k_00315	9868993	7084826	1364	732405	0	0	0	0	153473	0	0	0	0	1405000	355941	135984	71.78874278257163	9868993.0	9136588.0	92.58	732405.0	7.42	p1k_00315_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9868993.0	0.0	20-101	51.0	21.77361295412132	99.57798571748911	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass	2.6	9936117	3102848	9936117	1003547817	9083588	990113520	1.3386803072483788	0.0358	0.4408	0.5234
p1k_00316	9295099	6659621	1143	754679	0	0	0	0	131412	0	0	0	0	1292134	330675	125435	71.64658493685758	9295099.0	8540420.0	91.88	754679.0	8.12	p1k_00316_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9295099.0	0.0	20-101	51.0	19.73392017561283	99.79130980745876	pass	pass	warn	pass	warn	pass	pass	warn	fail	fail	pass	2.6	9341336	2768774	9341336	943474936	274816	939241498	0.4487069914064999	0.0354	0.4442	0.5203
p1k_00317	12746265	10211577	230277	264004	0	0	0	0	190875	0	0	0	0	731121	611676	506735	80.11426876814502	12746265.0	12482261.0	97.93	264004.0	2.07	p1k_00317_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12746265.0	0.0	20-40	50.0	19.08809563582262	39.33562671104045	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12764528	999574	12764528	505462788	786615	503374976	0.4130495952552693	0.0387	0.4004	0.5609
p1k_00318	13555921	10554571	577579	293040	0	0	0	0	230773	0	0	0	0	739585	633150	527223	77.85949032898614	13555921.0	13262881.0	97.84	293040.0	2.16	p1k_00318_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13555921.0	0.0	20-40	50.0	18.46459796140822	39.33532918936309	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	13578580	1053723	13578580	537715942	814679	535534980	0.405597422291043	0.0384	0.3904	0.5711
